フレンズID,わざ種別,効果種別,威力,対象,条件,効果ターン,発動率,発動回数,備考
ハヤブサ,たいきスキル,毎ターンMP増加,5,自身,-,7ターン~~(6回),1,1回,
キングチーター,けものミラクル,毎ターンMP増加,11,自身,-,10ターン,-,-,必要MP120
キングチーター,とくいわざ,毎ターンMP増加,3,自身,-,10ターン,-,-,
キングチーター,たいきスキル,毎ターンMP増加,5,自身,-,10ターン,1,1回,
キングチーター,とくせい,毎ターンMP増加,5,自身,-,-,-,-,
アリサ=サザンクロス,キセキとくせい,毎ターンMP増加,10,自身,-,-,-,-,
ケロロ,とくせい,毎ターンMP増加,1×ギブアップ~~していない味方の人数,自身,-,-,-,-,
コウノトリ,とくせい,毎ターンMP増加,2,自身を除く~~味方全体,ラブリー属性の味方~~自身のたいりょくが80%以上,-,-,-,
ちびくまモン,とくせい,毎ターンMP増加,3,自身,たいりょくが30%以上,-,-,-,
麒麟,たいきスキル,毎ターンMP増加,5,自身,-,6ターン~~(5回),1,1回,
ゴルゴプスカバ,キセキとくせい,毎ターンMP増加,3,自身,自身のたいりょくが60%以上,-,-,-,
アマゾンツリーボア,とくせい,毎ターンMP増加,5,自身,地形がジャングル,-,-,-,
ムック,キセキとくせい,毎ターンMP増加,5,自身を除く~~味方全体,自身がギブアップ状態でないとき,-,-,-,
アオツラカツオドリ,キセキとくせい,毎ターンMP増加,3,自身,-,-,-,-,
ヤマタノオロチ,とくせい,毎ターンMP増加,3,自身,自身がどく、くらくら、~~すやすや状態でないとき,-,-,-,
コヨーテ,キセキとくせい,毎ターンMP増加,2,自身,ギブアップ中ではない味方が4人以上,-,-,-,
コヨーテ,たいきスキル,毎ターンMP増加,1,自身,-,11ターン~~(10回),1,1回,
オオサイチョウ,たいきスキル,毎ターンMP増加,10,自身,-,3ターン~~(2回),1,2回,
オーストラリアデビル(桃),とくせい,毎ターンMP増加,2,味方全体,ラブリー属性の味方~~ステージの時間が夜,-,-,-,
タスマニアデビル(青),とくせい,毎ターンMP増加,5,自身,たいりょくが80%以上,-,-,-,
チベットスナギツネ(青),キセキとくせい,毎ターンMP増加,5,自身,-,-,-,-,
マヌルネコ(桃),キセキとくせい,毎ターンMP増加,5,自身,-,-,-,-,
ゴシンギュウサマ,キセキとくせい,毎ターンMP増加,5,自身,自身がすやすや状態のとき,-,-,-,
ゴシンギュウサマ,キセキとくせい,毎ターンMP増加,5,味方全体,自身がすやすや状態のとき,-,-,-,
ホッキョクオオカミ,たいきスキル,毎ターンMP増加,3,味方全体,地形が寒冷地~~マイペース属性の味方,8ターン~~(7回),0.8,1回,
ウミネコ,キセキとくせい,毎ターンMP増加,2,自身,地形がみずべ,-,-,-,
ウミネコ,キセキとくせい,毎ターンMP増加,3,自身,-,-,-,-,
ウミネコ,とくせい,毎ターンMP増加,2,味方全体,地形がみずべ~~ラブリー属性の味方,-,-,-,
コンゴウインコ,とくせい,毎ターンMP増加,5,自身,地形がジャングル,-,-,-,
コンゴウインコ,けものミラクル,毎ターンMP増加,4,味方全体,ファニー属性の味方,4ターン~~(3回),-,-,
フォークランドカラカラ,とくせい,毎ターンMP増加,1,自身,自身のたいりょくが50%以下,-,-,-,
アゴヒゲアザラシ,とくせい,毎ターンMP増加,2,味方全体,地形がみずべ~~マイペース属性の味方,-,-,-,
スザク,たいきスキル,毎ターンMP増加,1,味方全体,-,6ターン~~(5回),1,∞,
ハクトウワシ(緑),キセキとくせい,毎ターンMP増加,3,味方全体,ギブアップ中ではない味方が3人以上,-,-,-,
カグヤコウモリ,キセキとくせい,毎ターンMP増加,4,自身,ステージの時間が夜,-,-,-,
アフリカオニネズミ,とくせい,毎ターンMP増加,7,味方全体,フレンズ戦,-,-,-,
インドオオカミ,たいきスキル,毎ターンMP増加,5,自身,-,4ターン~~(3回),1,∞,
ヤンバルクイナ,とくせい,毎ターンMP増加,5,自身,たいりょく50%以下,-,-,-,
メキシコサラマンダー,とくせい,毎ターンMP増加,5,自身,-,-,-,-,
サーバル,たいきスキル,毎ターンMP増加,10,自身,-,6ターン~~(5回),1,1回,
ドール(黄緑),とくせい,毎ターンMP増加,3,自身,たいりょく50%以上,-,-,-,
ケツァール,キセキとくせい,毎ターンMP増加,2,味方全体,-,-,-,-,
スカイフィッシュ,とくせい,毎ターンMP増加,3,自身,-,-,-,-,
トキ(青),とくせい,毎ターンMP増加,4,自身,たいりょく100%,-,-,-,
チャップマンシマウマ(桃),キセキとくせい,毎ターンMP増加,3,味方全体,ギブアップ中ではない味方が5人,-,-,-,
トムソンガゼル,とくせい,毎ターンMP増加,4,自身,地形がサバンナ,-,-,-,
ホワイトサーバル,とくせい,毎ターンMP増加,3,自身,たいりょく50%以上,-,-,-,
コモドドラゴン,たいきスキル,毎ターンMP増加,5,自身,-,5ターン~~(4回),1,1回,
シーサー・ライト,キセキとくせい,毎ターンMP増加,4,自身,-,-,-,-,
ジャイアントパンダ,とくせい,毎ターンMP増加,50,自身,自身がすやすや状態,-,-,-,
シーサーバル・ライト,たいきスキル,毎ターンMP増加,8,自身,-,6ターン~~(5回),1,1回,
ジェンツーペンギン,キセキとくせい,毎ターンMP増加,3,自身,-,-,-,-,
ホワイトライオン,とくせい,毎ターンMP増加,20,自身,自身がひやひや状態,-,-,-,
アフリカオオコノハズク,とくせい,毎ターンMP増加,6,自身,たいりょく100%,-,-,-,
キンシコウ,とくせい,毎ターンMP増加,4,自身,-,-,-,-,
シロナガスクジラ,とくせい,毎ターンMP増加,3,自身,地形がみずべ,-,-,-,
フェネック,キセキとくせい,毎ターンMP増加,3,自身,-,-,-,-,
ビャクダ,けものミラクル,MP減少,30,相手単体,-,-,高確率,-,必要MP130
ウミウ,とくいわざ,MP減少,5,相手単体,地形がみずべ,-,-,-,
ヒクイドリ,けものミラクル,MP減少,24,相手単体,-,-,高確率,-,必要MP120
アリサ=サザンクロス,とくいわざ,MP減少,5,相手単体,-,-,-,-,
ホワイトカリブー,けものミラクル,MP減少,10,相手全体,アクティブ属性の相手,-,中確率,-,必要MP100
カニクイアライグマ,とくいわざ,MP減少,5,相手単体,ファニー属性またはラブリー属性の相手,-,高確率,-,
シベリアオオヤマネコ,けものミラクル,MP減少,10,相手単体,-,-,-,-,必要MP80
ツクヨミノシンシ,けものミラクル,MP減少,10,相手全体,マイペース属性の相手,-,低確率,-,
インドサイ,とくいわざ,MP減少,10,相手単体,地形がサバンナ,-,-,-,
ムック,とくいわざ,MP減少,10,相手単体,フレンドリー属性の相手,-,高確率,-,攻撃後に発動
ガチャピン,けものミラクル,MP減少,30,相手単体,リラックス属性の相手,-,高確率,-,
キジ,とくいわざ,MP減少,10,相手単体,アクティブ属性の相手,-,-,-,
コヨーテ,とくいわざ,MP減少,5,相手単体,マイペース属性の相手,-,高確率,-,攻撃後に発動
タスマニアデビル(青),とくいわざ,MP減少,5,相手単体,-,-,-,-,
フクロネコ,たいきスキル,MP減少,10,相手全体,-,-,0.5,4回,
ウミネコ,とくいわざ,MP減少,5,相手単体,-,-,中確率,-,攻撃後に発動
フォークランドカラカラ,とくいわざ,MP減少,10,相手単体,リラックス属性の相手,-,中確率,-,
人面魚,たいきスキル,MP減少,10,相手全体,ラブリー属性の相手,-,50%/高確率,3回,
イエネコ,けものミラクル,MP減少,20,相手単体,-,-,1,-,
サーバル,とくいわざ,MP減少,5,相手単体,-,-,高確率,-,
サーバル,とくいわざ,MP減少,15,相手単体,-,-,低確率,-,
ジャガー(赤),けものミラクル,MP減少,20,相手単体,-,-,1,-,
ホルスタイン,とくいわざ,MP減少,10,相手単体,リラックス属性の相手,-,高確率,-,
ギンギツネ(水),とくいわざ,MP減少,10,相手単体,ラブリー属性の相手,-,1,-,
ジャック・オー・ランタン,とくいわざ,MP減少,10,相手単体,リラックス属性の相手,-,1,-,
アライグマ(黄緑),とくいわざ,MP減少,10,相手単体,マイペース属性の相手,-,高確率,-,攻撃前に発動
マヌルネコ,とくいわざ,MP減少,10,相手単体,ファニー属性の相手,-,1,-,
ブラックバック,とくいわざ,MP減少,15,相手単体,-,-,低確率,-,
キンシコウ,けものミラクル,MP減少,20,相手単体,-,-,1,-,
キンシコウ,とくいわざ,MP減少,8,相手単体,-,-,1,-,
イワハイラックス,たいきスキル,毎ターンMP減少状態解除,-,味方全体,ラブリー属性の味方,-,1,2回,
マナティー,たいきスキル,毎ターンMP減少状態解除,-,味方全体,リラックス属性の味方,-,0.7,3回,
ビントロング,たいきスキル,毎ターンMP減少状態解除,-,味方全体,フレンドリー属性の味方,-,1,2回,
エリマキトカゲ,たいきスキル,毎ターンMP減少状態解除,-,味方全体,ファニー属性の味方,-,1,2回,
ツンドラオオカミ,たいきスキル,毎ターンMP減少状態解除,-,味方全体,マイペース属性の味方,-,1,2回,
メンダコ,たいきスキル,毎ターンMP減少状態解除,-,味方全体,ファニー属性の味方,-,1,3回,
シーラカンス,たいきスキル,毎ターンMP減少状態解除,-,味方全体,リラックス属性の味方,-,1,3回,
カンジキウサギ,けものミラクル,毎ターンMP減少状態解除,-,味方全体,ラブリー属性の味方,-,-,-,必要MP110
ディアトリマ,たいきスキル,毎ターンMP減少状態解除,-,味方全体,アクティブ属性の味方,-,1,1回,
アフリカタテガミヤマアラシ,たいきスキル,毎ターンMP減少状態解除,-,味方全体,マイペース属性の味方,-,1,3回,
ヤマタノオロチ,たいきスキル,毎ターンMP減少状態解除,-,味方全体,アクティブ属性の味方,-,1,1回,
ヒメアルマジロ,たいきスキル,毎ターンMP減少状態解除,-,味方全体,フレンドリー属性の味方,-,1,2回,
ホッキョクギツネ,たいきスキル,毎ターンMP減少状態解除,-,味方全体,ラブリー属性の味方,-,1,2回,
シロヘラコウモリ,たいきスキル,毎ターンMP減少状態解除,-,味方全体,リラックス属性の味方,-,1,2回,
ゴールデンタビータイガー,たいきスキル,毎ターンMP減少状態解除,-,味方全体,ファニー属性の味方,-,1,2回,
アフリカゾウ,たいきスキル,毎ターンMP減少状態解除,-,自身,-,-,0.5,∞,
アフリカゾウ,たいきスキル,MP増加量減少状態解除,-,自身,-,-,0.5,∞,
白龍,とくいわざ,与ダメージ増加状態解除,-,相手単体,-,-,高確率,-,
マナティー,けものミラクル,与ダメージ増加状態解除,-,相手全体,ファニー属性の相手,-,中確率,-,必要MP120
真・青龍,たいきスキル,与ダメージ増加状態解除,-,相手全体,-,-,1,1回,
ビントロング,けものミラクル,与ダメージ増加状態解除,-,相手単体,-,-,高確率,-,必要MP80
エゾユキウサギ,とくいわざ,与ダメージ増加状態解除,-,相手単体,-,-,低確率,-,
ジャクソンカメレオン,けものミラクル,与ダメージ増加状態解除,-,相手単体,-,-,中確率,-,必要MP100
エダハヘラオヤモリ,けものミラクル,与ダメージ増加状態解除,-,相手単体,-,-,-,-,必要MP90
アリサ=サザンクロス,けものミラクル,与ダメージ増加状態解除,-,相手単体,対象が状態異常でない,-,高確率,-,必要MP120
マントヒヒ,けものミラクル,与ダメージ増加状態解除,-,相手単体,ラブリー属性の相手,-,-,-,必要MP90
マサイキリン,けものミラクル,与ダメージ増加状態解除,-,相手単体,ファニー属性の相手,-,高確率,-,
バーバリライオン,けものミラクル,与ダメージ増加状態解除,-,相手単体,ファニー属性の相手,-,-,-,
カグヤコウモリ,とくいわざ,与ダメージ増加状態解除,-,相手単体,ファニー属性の相手,-,高確率,-,
ヤタガラス,とくいわざ,与ダメージ増加状態解除,-,相手単体,フレンドリー属性の相手,-,中確率,-,
マイルカ(黄緑),とくいわざ,与ダメージ増加状態解除,-,相手単体,マイペース属性の相手,-,中確率,-,
ユニコ,たいきスキル,与ダメージ増加状態解除,-,ランダムな相手単体,-,-,1,2回,
アカギツネ,たいきスキル,与ダメージ増加状態解除,-,ランダムな相手単体,-,-,1,2回,
トムソンガゼル,けものミラクル,与ダメージ増加状態解除,-,相手単体,ラブリー属性の相手,-,高確率,-,
シーサー・ライト,とくいわざ,与ダメージ増加状態解除,-,相手単体,ラブリー属性の相手,-,中確率,-,
クロトキ,たいきスキル,与ダメージ増加状態解除,-,ランダムな相手単体,-,-,1,2回,
マレーバク(緑),たいきスキル,与ダメージ増加状態解除,-,ランダムな相手単体,-,-,0.5,3回,
オイナリサマ,とくいわざ,与ダメージ増加状態解除,-,相手単体,アクティブ属性の相手,-,中確率,-,
ブラックバック,けものミラクル,与ダメージ増加状態解除,-,相手全体,リラックス属性の相手,-,-,-,
黒龍,とくいわざ,被ダメージ減少状態解除,-,相手単体,-,-,高確率,-,
白龍,たいきスキル,被ダメージ減少状態解除,-,相手全体,-,-,1,1回,
バイソン,とくいわざ,被ダメージ減少状態解除,-,相手単体,-,-,低確率,-,
マナティー,けものミラクル,被ダメージ減少状態解除,-,相手全体,ファニー属性の相手,-,中確率,-,必要MP120
アカカンガルー,たいきスキル,被ダメージ減少状態解除,-,相手全体,ファニー属性の相手,-,1,2回,
エゾユキウサギ,とくいわざ,被ダメージ減少状態解除,-,相手単体,-,-,低確率,-,
ジャクソンカメレオン,けものミラクル,被ダメージ減少状態解除,-,相手単体,-,-,中確率,-,必要MP100
カワウ,たいきスキル,被ダメージ減少状態解除,-,相手全体,フレンドリー属性の相手,-,1,3回,
マンドリル,とくいわざ,被ダメージ減少状態解除,-,相手単体,ファニー属性の相手,-,高確率,-,
オジロスナギツネ,とくいわざ,被ダメージ減少状態解除,-,相手単体,フレンドリー属性の相手,-,高確率,-,
ニホンノウサギ,けものミラクル,被ダメージ減少状態解除,-,相手単体,アクティブ属性の相手,-,高確率,-,
バーバリライオン,けものミラクル,被ダメージ減少状態解除,-,相手単体,ファニー属性の相手,-,1,-,
ウィッチ,とくいわざ,被ダメージ減少状態解除,-,相手単体,ラブリー属性の相手,-,高確率,-,
マイルカ(黄緑),けものミラクル,被ダメージ減少状態解除,-,相手単体,マイペース属性の相手,-,1,-,
ケツァール,けものミラクル,被ダメージ減少状態解除,-,相手単体,ラブリー属性の相手,-,1,-,
ユニコ,たいきスキル,被ダメージ減少状態解除,-,ランダムな相手単体,-,-,1,2回,
アデリーペンギン,とくいわざ,被ダメージ減少状態解除,-,相手単体,マイペース属性の相手,-,高確率,-,
カラカル,たいきスキル,被ダメージ減少状態解除,-,相手全体,フレンドリー属性の相手,-,1,2回,
チーター,けものミラクル,被ダメージ減少状態解除,-,相手単体,リラックス属性の相手,-,1,-,
シーサー・レフティ,とくいわざ,被ダメージ減少状態解除,-,相手単体,ラブリー属性の相手,-,中確率,-,
フェネック(桃),とくいわざ,被ダメージ減少状態解除,-,相手単体,アクティブ属性の相手,-,低確率,-,
バンドウイルカ,けものミラクル,被ダメージ減少状態解除,-,相手単体,フレンドリー属性の相手,-,1,-,
チベットスナギツネ,けものミラクル,被ダメージ減少状態解除,-,相手単体,アクティブ属性の相手,-,1,-,
レッサーパンダ,とくいわざ,被ダメージ減少状態解除,-,相手単体,ファニー属性の相手,-,低確率,-,
ブタ,たいきスキル,被ダメージ減少状態解除,-,相手全体,マイペース属性の相手,-,1,2回,
アミメキリン,けものミラクル,被ダメージ減少状態解除,-,相手単体,ファニー属性の相手,-,1,-,
白龍,とくいわざ,攻撃命中率増加状態解除,-,相手単体,-,-,高確率,-,
エゾユキウサギ,けものミラクル,攻撃命中率増加状態解除,-,相手単体,-,-,中確率,-,必要MP80
ユニコ,たいきスキル,攻撃命中率増加状態解除,-,ランダムな相手単体,-,-,1,2回,
黒龍,とくいわざ,かいひ増加状態解除,-,相手単体,-,-,高確率,-,
アラスカラッコ,たいきスキル,かいひ増加状態解除,-,相手全体,ラブリー属性の相手,-,1,2回,
キットギツネ,けものミラクル,かいひ増加状態解除,-,相手単体,-,-,高確率,-,必要MP120
エゾユキウサギ,けものミラクル,かいひ増加状態解除,-,相手単体,-,-,中確率,-,必要MP80
ニホンアナグマ,けものミラクル,かいひ増加状態解除,-,相手単体,-,-,高確率,-,必要MP80
カワウ,たいきスキル,かいひ増加状態解除,-,相手全体,フレンドリー属性の相手,-,1,3回,
エダハヘラオヤモリ,けものミラクル,かいひ増加状態解除,-,相手単体,-,-,-,-,必要MP90
ピューマ,たいきスキル,かいひ増加状態解除,-,相手全体,フレンドリー属性の相手,-,1,3回,
アフリカンゴールデンウルフ,けものミラクル,かいひ増加状態解除,-,相手単体,-,-,-,-,必要MP90
アフリカオオコノハズク(青),たいきスキル,かいひ増加状態解除,-,相手全体,ファニー、ラブリー~~属性の相手,-,1,5回,
ウサギコウモリ,たいきスキル,かいひ増加状態解除,-,相手全体,アクティブ属性の相手,-,1,1回,
メガネカイマン,けものミラクル,かいひ増加状態解除,-,相手単体,-,-,-,-,
ホロホロチョウ,けものミラクル,かいひ増加状態解除,-,相手単体,-,-,-,-,
ヘビクイワシ,たいきスキル,かいひ増加状態解除,-,相手全体,アクティブ属性の相手,-,1,1回,
セーバル,とくいわざ,かいひ増加状態解除,-,相手単体,-,-,中確率,-,
ユニコ,たいきスキル,かいひ増加状態解除,-,ランダムな相手単体,-,-,1,2回,
コツメカワウソ(黄緑),たいきスキル,かいひ増加状態解除,-,相手全体,マイペース属性の相手,-,1,2回,
ホワイトタイガー,たいきスキル,かいひ増加状態解除,-,相手全体,ラブリー属性の相手,-,1,2回,
カンザシフウチョウ,たいきスキル,かいひ増加状態解除,-,ランダムな相手単体,-,-,1,3回,
ホワイトサーバル(桃),たいきスキル,与ダメージ減少状態解除,-,自身,-,-,1,1回,
キットギツネ,たいきスキル,与ダメージ減少状態解除,-,自身,-,-,1,2回,
エゾユキウサギ,たいきスキル,与ダメージ減少状態解除,-,味方全体,アクティブ属性の味方,-,1,1回,
シンリンオオカミ,たいきスキル,与ダメージ減少状態解除,-,自身,-,-,1,2回,
マンドリル,たいきスキル,与ダメージ減少状態解除,-,味方全体,リラックス属性の味方,-,1,3回,
カマイタチ・転,たいきスキル,与ダメージ減少状態解除,-,自身を除く~~味方全体,ファニー属性の味方,-,1,2回,
コンゴウインコ,たいきスキル,与ダメージ減少状態解除,-,味方全体,ファニー属性の味方,-,1,2回,
マルタタイガー,たいきスキル,与ダメージ減少状態解除,-,味方全体,リラックス属性の味方,-,1,2回,
ウィッチ,たいきスキル,与ダメージ減少状態解除,-,味方全体,マイペース属性の味方,-,1,2回,
イエネコ,たいきスキル,与ダメージ減少状態解除,-,味方全体,ラブリー属性の味方,-,1,2回,
オーロックス,たいきスキル,与ダメージ減少状態解除,-,味方全体,フレンドリー属性の味方,-,1,2回,
アライグマ(黄緑),たいきスキル,与ダメージ減少状態解除,-,味方全体,アクティブ属性の味方,-,1,2回,
アフリカゾウ,たいきスキル,与ダメージ減少状態解除,-,自身,-,-,0.5,∞,
ジュゴン,たいきスキル,被ダメージ増加状態解除,-,味方全体,マイペース属性の味方,-,0.7,2回,
バンドウイルカ(水),たいきスキル,被ダメージ増加状態解除,-,味方全体,マイペース、ファニー属性の味方,-,1,1回,
真・青龍,たいきスキル,被ダメージ増加状態解除,-,味方全体,-,-,1,1回,
マメジカ,たいきスキル,被ダメージ増加状態解除,-,自身,-,-,0.7,2回,
シンリンオオカミ,たいきスキル,被ダメージ増加状態解除,-,自身,-,-,1,2回,
マンドリル,たいきスキル,被ダメージ増加状態解除,-,味方全体,リラックス属性の味方,-,1,3回,
ジョフロイネコ,けものミラクル,被ダメージ増加状態解除,-,味方全体,ラブリー属性の味方,-,1,-,
メキシコサラマンダー,けものミラクル,被ダメージ増加状態解除,-,味方全体,リラックス属性の味方,-,-,-,
アフリカゾウ,たいきスキル,被ダメージ増加状態解除,-,自身,-,-,0.5,∞,
カモメ,けものミラクル,攻撃命中率減少状態解除,-,味方全体,ファニー属性の味方,-,-,-,
ジョフロイネコ,けものミラクル,攻撃命中率減少状態解除,-,味方全体,ラブリー属性の味方,-,1,-,
セーバル,たいきスキル,攻撃命中率減少状態解除,-,味方全体,マイペース属性の味方,-,1,2回,
ショウジョウトキ,たいきスキル,攻撃命中率減少状態解除,-,味方全体,-,-,1,2回,
アフリカゾウ,たいきスキル,攻撃命中率減少状態解除,-,自身,-,-,0.5,∞,
アフリカゾウ,たいきスキル,かいひ減少状態解除,-,自身,-,-,0.5,∞,
真・青龍,とくせい,プラズムチャージ効果回数追加,2回,自身,-,-,-,-,
ブラックサーバル,とくせい,プラズムチャージ効果回数追加,1回,自身,-,-,-,-,
アリゾナジャガー,キセキとくせい,プラズムチャージ効果回数追加,2回,自身,-,-,-,-,
ケロロ,キセキとくせい,プラズムチャージ効果回数追加,1回,自身,ギブアップしていない味方が5人,-,-,-,
ジャングルキャット,たいきスキル,プラズムチャージ効果回数追加,1回,自身,-,2ターン,1,2回,
ボブキャット,キセキとくせい,プラズムチャージ効果回数追加,1回,味方全体,自身のたいりょくが90%以上~~ラブリー属性の味方,-,-,-,
ツクヨミノシンシ,たいきスキル,プラズムチャージ効果回数追加,1回,自身,-,2ターン,0.5,∞,
ホラアナライオン,たいきスキル,プラズムチャージ効果回数追加,1回,自身,-,2ターン,1,2回,
ツシマヤマネコ,とくせい,プラズムチャージ効果回数追加,1回,味方全体,ステージの時間が夜~~リラックス属性の味方,-,-,-,
ガチャピン,キセキとくせい,プラズムチャージ効果回数追加,1回,自身,ギブアップ中ではない味方が3人以上,-,-,-,
オオサイチョウ,キセキとくせい,プラズムチャージ効果回数追加,1回,味方全体,地形がジャングル,-,-,-,
ニホンザル,キセキとくせい,プラズムチャージ効果回数追加,1回,味方全体,地形が寒冷地~~フレンドリー属性の味方,-,-,-,
コンゴウインコ,たいきスキル,プラズムチャージ効果回数追加,1回,味方全体,ファニー属性の味方,2ターン,1,2回,'攻撃前''に発動
ドラコケンタウロス,たいきスキル,プラズムチャージ効果回数追加,1回,味方全体,-,3ターン,1,1回,攻撃後に発動
ケツァール,たいきスキル,プラズムチャージ効果回数追加,1回,味方全体,マイペース属性の味方,2ターン,1,2回,攻撃後に発動
アラビアオリックス,キセキとくせい,プラズムチャージ効果回数追加,1回,味方全体,地形がさばく,-,-,-,
デグー,とくせい,プラズムチャージ効果回数追加,1回,自身,-,-,-,-,
ジャガー,とくせい,プラズムチャージ効果回数追加,1回,自身,ステージの時間が夜,-,-,-,
カリフォルニアアシカ,とくせい,プラズムチャージ効果回数追加,1回,自身,地形がみずべ,-,-,-,
赤龍,とくいわざ,全体Beat,0.48,相手全体,-,-,-,-,
ギロロ,とくいわざ,全体Beat,(均等割)~~120%~~(40%×3),相手全体,ギブアップ中ではない~~相手が2人以下,-,-,-,
ギロロ,とくいわざ,全体Beat,48%~~(16%×3),相手全体,ギブアップ中ではない~~相手が3人以上,-,-,-,
インパラ,とくいわざ,全体Beat,0.43,相手全体,-,-,-,-,
メンダコ,とくいわざ,全体Beat,48%~~(16%×3),相手全体,-,-,-,-,
シーラカンス,とくいわざ,全体Beat,48%~~(16%×3),相手全体,-,-,-,-,
パラケラテリウム,とくいわざ,全体Beat,46%~~(23%×2),相手全体,-,-,-,-,
カタカケフウチョウ,とくいわざ,全体Beat,48%~~(12%×4),相手全体,-,-,-,-,
ハシビロコウ,とくいわざ,全体Beat,0.1,相手全体,-,-,-,-,
ヒグマ,とくいわざ,全体Beat,0.48,相手全体,-,-,-,-,
オオフラミンゴ,とくいわざ,全体Beat,48%~~(24%×2),相手全体,-,-,-,-,
ダチョウ,とくいわざ,全体Beat,0.48,相手全体,-,-,-,-,
マナティー,けものミラクル,均等割ダメージ,805%~~(161%×5),相手全体,-,-,-,-,必要MP120
キンシャチ,けものミラクル,均等割ダメージ,8.68,相手全体,-,-,-,-,必要MP130
ギロロ,とくいわざ,均等割ダメージ,120%~~(40%×3),相手全体,ギブアップ中ではない~~相手が2人以下,-,-,-,
インドシナウォータードラゴン,けものミラクル,均等割ダメージ,6.65,相手全体,-,-,-,-,必要MP100
ライオン(水),けものミラクル,均等割ダメージ,966%~~(322%×3),相手全体,ギブアップ中ではない~~相手が3人以下,-,-,-,必要MP140
カンジキウサギ,けものミラクル,均等割ダメージ,7,相手全体,-,-,-,-,必要MP110
ヤマタノオロチ,けものミラクル,均等割ダメージ,9.1,相手全体,-,-,-,-,必要MP130
セイリュウ,けものミラクル,均等割ダメージ,687%~~(229%×3),相手全体,-,-,-,-,必要MP110
シヴァテリウム,けものミラクル,均等割ダメージ,7,相手全体,-,-,-,-,必要MP100
ウィッチ,けものミラクル,均等割ダメージ,7.42,相手全体,-,-,-,-,必要MP110
ゲンブ,けものミラクル,均等割ダメージ,6.86,相手全体,-,-,-,-,必要MP100
ミーアキャット(桃),けものミラクル,均等割ダメージ,7.28,相手全体,-,-,-,-,必要MP110
ミミィサーバル,けものミラクル,均等割ダメージ,6.58,相手全体,-,-,-,-,必要MP100
ギンギツネ(水),けものミラクル,均等割ダメージ,6.3,相手全体,-,-,-,-,必要MP90
アオツラカツオドリ,たいきスキル,コーラス参加,-,自身,-,-,1,∞,
イエイヌ（シバイヌ）,たいきスキル,コーラス参加,-,自身,-,-,0.7,5回,
ホワイトサーバル,たいきスキル,コーラス参加,-,自身,-,-,1,∞,
バンドウイルカ,たいきスキル,コーラス参加,-,自身,-,-,0.7,2回,
バンドウイルカ,とくいわざ,MP増加,5,自身,-,-,-,-,
シーサーバル・レフティ,たいきスキル,コーラス参加,-,自身,-,-,0.4,∞,
ブラックジャガー,たいきスキル,コーラス参加,-,自身,-,-,0.7,2回,
サーバル？,たいきスキル,コーラス参加,-,自身,-,-,1,∞,
オジロヌー,たいきスキル,コーラス参加,-,自身,-,-,0.5,1回,
オセロット,キセキとくせい,おかわり増加,1,-,バトル開始時,-,-,1回,
麒麟,キセキとくせい,おかわり増加,2,-,バトル開始時,-,-,1回,
麒麟,キセキとくせい,おかわり最大値増加,1,-,バトル開始時,-,-,1回,
イヌワシ,キセキとくせい,たいりょく1で耐える,-,自身,-,-,-,1回,
クロサイ(緑),キセキとくせい,たいりょく1で耐える,-,自身,-,-,-,1回,
赤龍,キセキとくせい,たいりょく1で耐える,-,味方全体,-,-,-,1回,
サバンナセンザンコウ,キセキとくせい,たいりょく1で耐える,-,自身,-,-,-,1回,
日向夏美,キセキとくせい,たいりょく1で耐える,-,自身,-,-,-,1回,
カリフォルニアラッコ,なないろとくせい,たいりょく1で耐える,-,味方全体,地形がみずべ~~マイペーズ属性の味方,-,-,1回,
キンシコウ,なないろとくせい,たいりょく1で耐える,-,自身,-,-,-,1回,
エジプトガン,キセキとくせい,たいりょく1で耐える,-,自身,-,-,-,2回,
ラーテル,とくせい,たいりょく1で耐える,-,自身,-,-,-,1回,
サーバル,とくせい,たいりょく1で耐える,-,味方全体,地形がサバンナ,-,-,1回,
ヤク,キセキとくせい,たいりょく1で耐える,-,自身,-,-,-,1回,
アライグマ(黄緑),とくせい,たいりょく1で耐える,-,自身,-,-,-,1回,
ブラックバック,キセキとくせい,たいりょく1で耐える,-,自身,-,-,-,1回,
ジャイアントペンギン,キセキとくせい,たいりょく1で耐える,-,自身,-,-,-,1回,
アライグマ,なないろとくせい,たいりょく1で耐える,-,自身,-,-,-,1回,
クロサイ,とくせい,たいりょく1で耐える,-,自身,-,-,-,1回,
カリフォルニアラッコ,とくせい,たいりょく1で耐える,-,自身,地形がみずべ,-,-,1回,
マイルカ,キセキとくせい,たいりょく1で耐える,-,自身,-,-,-,1回,
グリズリー,たいきスキル,ギブアップ復帰,復帰時HP50%,味方1人,-,-,1,1回,
【大きな瞳の美人顔】サーバル,けものミラクル,ギブアップ復帰,復帰時HP30%,味方全体,-,-,-,-,必要MP140
麒麟,けものミラクル,ギブアップ復帰,復帰時HP5%+48%,味方全体,ギブアップ中ではない味方が1人以下,-,-,-,
アオツラカツオドリ,けものミラクル,ギブアップ復帰,復帰時HP50%,味方1人,-,-,-,-,
ツノサイチョウ,けものミラクル,ギブアップ復帰,復帰時HP25%,味方1人,-,-,-,-,
